project_id,project_name,developer,offtaker,parent_group,country,subnational_region,city,latitude,longitude,industry,project_status,commercial_operation_date,business_model,regulatory_archetype,installed_capacity_kwp,dc_ac_basis,annual_generation_kwh,specific_yield_kwh_kwp,annual_customer_load_kwh,self_consumption_ratio,ppa_exists,ppa_price_status,ppa_tenor_years,currency,project_cost,financing_amount,financing_currency,financing_structure,credit_evidence_status,site_rights_status,benchmark_pack_id,coverage_score,evidence_grade,source_quality_grade,candidate_coverage_grade,entity_granularity,primary_source_id,source_count,model_mode,ppa_mode,evidence_class,selection_status,freeze_status,data_quality_status,candidate_project_id,country_region,generation_evidence_status,load_evidence_level
EU-GY-ALTAREA-BOLLENE-ROOF,Altarea Bollene rooftop,GreenYellow,Altarea,GreenYellow,France,European Union,Bollene,,,C&I solar,OPERATING,,ROOFTOP_PPA,PUBLIC_DATA_RECONSTRUCTION,9600,PUBLIC_SOURCE_OR_BENCHMARK_OVERLAY,12000000,1250,14117647.06,0.85,YES,NOT_DISCLOSED_OR_REFERENCE_ONLY,20,EUR,,,EUR,STANDARDIZED_CAPACITY_SIZED_UNDERWRITING,NOT_DISCLOSED_STANDARDIZED_UNDERWRITING,NOT_DISCLOSED,EU-FR-CI-2026,85,GOLD,STRONG,GOLD,ASSET_SITE,GY-EU-ALTAREA,1,PARTIAL_RECONSTRUCTION,FRONTIER_ONLY,DERIVED_FROM_OBSERVED,SELECTED_V5_1_OUTCOME_BLIND,FROZEN_V5_1,READY_FOR_V5_1_FULL_ENGINE,EU-GY-ALTAREA-BOLLENE-ROOF,France,OBSERVED_PUBLIC_OR_SOURCE_REPORTED,LEVEL_3_ANNUAL_ONLY
EU-GY-ALTAREA-PUCEUL,Altarea Puceul rooftop,GreenYellow,Altarea,GreenYellow,France,European Union,Puceul,,,C&I solar,OPERATING,,ROOFTOP_PPA,PUBLIC_DATA_RECONSTRUCTION,3000,PUBLIC_SOURCE_OR_BENCHMARK_OVERLAY,3000000,1000,3529411.76,0.85,YES,NOT_DISCLOSED_OR_REFERENCE_ONLY,20,EUR,,,EUR,STANDARDIZED_CAPACITY_SIZED_UNDERWRITING,NOT_DISCLOSED_STANDARDIZED_UNDERWRITING,NOT_DISCLOSED,EU-FR-CI-2026,85,GOLD,STRONG,GOLD,ASSET_SITE,GY-EU-ALTAREA,1,PARTIAL_RECONSTRUCTION,FRONTIER_ONLY,DERIVED_FROM_OBSERVED,SELECTED_V5_1_OUTCOME_BLIND,FROZEN_V5_1,READY_FOR_V5_1_FULL_ENGINE,EU-GY-ALTAREA-PUCEUL,France,OBSERVED_PUBLIC_OR_SOURCE_REPORTED,LEVEL_3_ANNUAL_ONLY
EU-GY-FRUEHAUF-AUXERRE,Fruehauf Auxerre carports,GreenYellow,Fruehauf,GreenYellow,France,European Union,Auxerre,,,C&I solar,OPERATING,,CARPORT_PPA,PUBLIC_DATA_RECONSTRUCTION,11000,PUBLIC_SOURCE_OR_BENCHMARK_OVERLAY,12700000,1154.55,14941176.47,0.85,YES,NOT_DISCLOSED_OR_REFERENCE_ONLY,20,EUR,,,EUR,STANDARDIZED_CAPACITY_SIZED_UNDERWRITING,NOT_DISCLOSED_STANDARDIZED_UNDERWRITING,NOT_DISCLOSED,EU-FR-CI-2026,85,GOLD,STRONG,GOLD,ASSET_SITE,GY-EU-FRUEHAUF,1,PARTIAL_RECONSTRUCTION,FRONTIER_ONLY,DERIVED_FROM_OBSERVED,SELECTED_V5_1_OUTCOME_BLIND,FROZEN_V5_1,READY_FOR_V5_1_FULL_ENGINE,EU-GY-FRUEHAUF-AUXERRE,France,OBSERVED_PUBLIC_OR_SOURCE_REPORTED,LEVEL_3_ANNUAL_ONLY
EU-GY-PANATTONI-MOISSY,Panattoni Moissy Cramayel,GreenYellow,Panattoni,GreenYellow,France,European Union,Moissy Cramayel,,,C&I solar,OPERATING,,ROOFTOP_PPA,PUBLIC_DATA_RECONSTRUCTION,1300,PUBLIC_SOURCE_OR_BENCHMARK_OVERLAY,1321000,1016.15,1554117.65,0.85,YES,NOT_DISCLOSED_OR_REFERENCE_ONLY,20,EUR,,,EUR,STANDARDIZED_CAPACITY_SIZED_UNDERWRITING,NOT_DISCLOSED_STANDARDIZED_UNDERWRITING,NOT_DISCLOSED,EU-FR-CI-2026,85,GOLD,STRONG,GOLD,ASSET_SITE,GY-EU-PANATTONI,1,PARTIAL_RECONSTRUCTION,FRONTIER_ONLY,DERIVED_FROM_OBSERVED,SELECTED_V5_1_OUTCOME_BLIND,FROZEN_V5_1,READY_FOR_V5_1_FULL_ENGINE,EU-GY-PANATTONI-MOISSY,France,OBSERVED_PUBLIC_OR_SOURCE_REPORTED,LEVEL_3_ANNUAL_ONLY
EU-GY-SAFRAN-EVRY,Safran Evry Corbeil,GreenYellow,Safran,GreenYellow,France,European Union,Evry Corbeil,,,C&I solar,COMMISSIONED,,ONSITE_SELF_CONSUMPTION,PUBLIC_DATA_RECONSTRUCTION,8600,PUBLIC_SOURCE_OR_BENCHMARK_OVERLAY,8300000,965.12,9764705.88,0.85,YES,NOT_DISCLOSED_OR_REFERENCE_ONLY,20,EUR,,,EUR,STANDARDIZED_CAPACITY_SIZED_UNDERWRITING,NOT_DISCLOSED_STANDARDIZED_UNDERWRITING,NOT_DISCLOSED,EU-FR-CI-2026,85,GOLD,STRONG,GOLD,ASSET_SITE,GY-EU-SAFRAN,1,PARTIAL_RECONSTRUCTION,FRONTIER_ONLY,DERIVED_FROM_OBSERVED,SELECTED_V5_1_OUTCOME_BLIND,FROZEN_V5_1,READY_FOR_V5_1_FULL_ENGINE,EU-GY-SAFRAN-EVRY,France,OBSERVED_PUBLIC_OR_SOURCE_REPORTED,LEVEL_3_ANNUAL_ONLY
EU-GY-STELLANTIS-CAEN,Stellantis Caen,GreenYellow,Stellantis,GreenYellow,France,European Union,Caen,,,C&I solar,OPERATING,,ONSITE_PPA,PUBLIC_DATA_RECONSTRUCTION,4000,PUBLIC_SOURCE_OR_BENCHMARK_OVERLAY,2300000,575,2705882.35,0.85,YES,NOT_DISCLOSED_OR_REFERENCE_ONLY,20,EUR,,,EUR,STANDARDIZED_CAPACITY_SIZED_UNDERWRITING,NOT_DISCLOSED_STANDARDIZED_UNDERWRITING,NOT_DISCLOSED,EU-FR-CI-2026,77,STRONG,STRONG,STRONG,ASSET_SITE,GY-EU-STELLANTIS,1,PARTIAL_RECONSTRUCTION,FRONTIER_ONLY,DERIVED_FROM_OBSERVED,SELECTED_V5_1_OUTCOME_BLIND,FROZEN_V5_1,READY_FOR_V5_1_FULL_ENGINE,EU-GY-STELLANTIS-CAEN,France,OBSERVED_PUBLIC_OR_SOURCE_REPORTED,LEVEL_3_ANNUAL_ONLY
EU-GY-STELLANTIS-CHARLEVILLE,Stellantis Charleville,GreenYellow,Stellantis,GreenYellow,France,European Union,Charleville,,,C&I solar,OPERATING,,ONSITE_PPA,PUBLIC_DATA_RECONSTRUCTION,8000,PUBLIC_SOURCE_OR_BENCHMARK_OVERLAY,4500000,562.5,5294117.65,0.85,YES,NOT_DISCLOSED_OR_REFERENCE_ONLY,20,EUR,,,EUR,STANDARDIZED_CAPACITY_SIZED_UNDERWRITING,NOT_DISCLOSED_STANDARDIZED_UNDERWRITING,NOT_DISCLOSED,EU-FR-CI-2026,77,STRONG,STRONG,STRONG,ASSET_SITE,GY-EU-STELLANTIS,1,PARTIAL_RECONSTRUCTION,FRONTIER_ONLY,DERIVED_FROM_OBSERVED,SELECTED_V5_1_OUTCOME_BLIND,FROZEN_V5_1,READY_FOR_V5_1_FULL_ENGINE,EU-GY-STELLANTIS-CHARLEVILLE,France,OBSERVED_PUBLIC_OR_SOURCE_REPORTED,LEVEL_3_ANNUAL_ONLY
EU-GY-STELLANTIS-VALENCIENNES,Stellantis Valenciennes,GreenYellow,Stellantis,GreenYellow,France,European Union,Valenciennes,,,C&I solar,OPERATING,,ONSITE_PPA,PUBLIC_DATA_RECONSTRUCTION,6000,PUBLIC_SOURCE_OR_BENCHMARK_OVERLAY,4600000,766.67,5411764.71,0.85,YES,NOT_DISCLOSED_OR_REFERENCE_ONLY,20,EUR,,,EUR,STANDARDIZED_CAPACITY_SIZED_UNDERWRITING,NOT_DISCLOSED_STANDARDIZED_UNDERWRITING,NOT_DISCLOSED,EU-FR-CI-2026,77,STRONG,STRONG,STRONG,ASSET_SITE,GY-EU-STELLANTIS,1,PARTIAL_RECONSTRUCTION,FRONTIER_ONLY,DERIVED_FROM_OBSERVED,SELECTED_V5_1_OUTCOME_BLIND,FROZEN_V5_1,READY_FOR_V5_1_FULL_ENGINE,EU-GY-STELLANTIS-VALENCIENNES,France,OBSERVED_PUBLIC_OR_SOURCE_REPORTED,LEVEL_3_ANNUAL_ONLY
EU-GY-GIVA-CELLA,GIVA Cella Dati,GreenYellow,GIVA,GreenYellow,Italy,European Union,Cella Dati Lombardy,,,C&I solar,OPERATING,,ONSITE_PPA,PUBLIC_DATA_RECONSTRUCTION,3000,PUBLIC_SOURCE_OR_BENCHMARK_OVERLAY,4050000,1350,4764705.88,0.85,YES,NOT_DISCLOSED_OR_REFERENCE_ONLY,20,EUR,,,EUR,STANDARDIZED_CAPACITY_SIZED_UNDERWRITING,NOT_DISCLOSED_STANDARDIZED_UNDERWRITING,NOT_DISCLOSED,EU-IT-CI-2026,75,STRONG,STRONG,STRONG,ASSET_SITE,GY-EU-GIVA,1,PARTIAL_RECONSTRUCTION,FRONTIER_ONLY,DERIVED_FROM_OBSERVED,SELECTED_V5_1_OUTCOME_BLIND,FROZEN_V5_1,READY_FOR_V5_1_FULL_ENGINE,EU-GY-GIVA-CELLA,Italy,DERIVED_FROM_CAPACITY_AND_YIELD,LEVEL_3_ANNUAL_ONLY
EU-GY-GIVA-VISANO,GIVA Visano,GreenYellow,GIVA,GreenYellow,Italy,European Union,Visano Lombardy,,,C&I solar,OPERATING,,ONSITE_PPA,PUBLIC_DATA_RECONSTRUCTION,8000,PUBLIC_SOURCE_OR_BENCHMARK_OVERLAY,10800000,1350,12705882.35,0.85,YES,NOT_DISCLOSED_OR_REFERENCE_ONLY,20,EUR,,,EUR,STANDARDIZED_CAPACITY_SIZED_UNDERWRITING,NOT_DISCLOSED_STANDARDIZED_UNDERWRITING,NOT_DISCLOSED,EU-IT-CI-2026,75,STRONG,STRONG,STRONG,ASSET_SITE,GY-EU-GIVA,1,PARTIAL_RECONSTRUCTION,FRONTIER_ONLY,DERIVED_FROM_OBSERVED,SELECTED_V5_1_OUTCOME_BLIND,FROZEN_V5_1,READY_FOR_V5_1_FULL_ENGINE,EU-GY-GIVA-VISANO,Italy,DERIVED_FROM_CAPACITY_AND_YIELD,LEVEL_3_ANNUAL_ONLY
