rule_id,jurisdiction,regulation_name,regulation_number,issuer,publication_date,legal_effective_from,billing_effective_from,business_model_archetype,project_applicability,financial_model_implication,required_model_switch,source_id,recheck_before_release,status,review_note
RULE-243,Viet Nam,Decree 243/2026/ND-CP,243/2026/ND-CP,Government,2026-06-26,2026-06-26,,all C&I rooftop,Legal mapping required,direct_sale_or_self_consumption,,SRC-REG-243,TRUE,LOCKED,
RULE-TAR-963,Viet Nam,Decision 963/QD-BCT,963/QD-BCT,MOIT,2026-04-22,2026-04-22,,industrial_C&I,Legal time schedule only; billed implementation separate,billing_status,,SRC-TAR-963,TRUE,WATCH,Effective time window confirmed; billed applicability is not inferred.
RULE-TAR-60,Viet Nam,Circular 60/2025/TT-BCT,60/2025/TT-BCT,MOIT,2025-12-02,2025-12-02,,industrial_C&I,Controlling electricity-pricing implementation rule,billing_effective_from,,SRC-TAR-60,TRUE,LOCKED,Legal source verified; implementation date remains separately controlled.
RULE-TAR-IMPLEMENTATION,Viet Nam,Decision 963 implementation notice,EVN/EA notice 2026-04-24,EVN / Electricity Authority,2026-04-24,2026-04-24,,industrial_C&I,Application linked to Circular 60 condition,billing_effective_from,,SRC-REFRESH-EVN-20260831,TRUE,WATCH,Must confirm billed implementation before final release.
RULE-TAX-067,Viet Nam,CIT Law 67/2025/QH15,67/2025/QH15,National Assembly,2025-06-14,2026-10-01,,all SPV,No automatic incentive,tax_rule_version,,SRC-TAX-067,TRUE,LOCKED,Rechecked immediately before candidate release.
RULE-TAX-320,Viet Nam,Decree 320/2025/ND-CP,320/2025/ND-CP,Government,2025-12-15,2025-12-15,,all SPV,Cash tax and loss carryforward,tax_rule_version,,SRC-TAX-320,TRUE,LOCKED,Rechecked immediately before candidate release.
RULE-TAX-141,Viet Nam,Decree 141/2026/ND-CP,141/2026/ND-CP,Government,2026-07-01,2026-07-01,,all SPV,Tax amendment and implementation context,tax_rule_version,,SRC-TAX-141,TRUE,LOCKED,Rechecked immediately before candidate release.
RULE-TAX-020,Viet Nam,Circular 20/2026/TT-BTC,20/2026/TT-BTC,Ministry of Finance,2026-06-01,2026-06-01,,all SPV,Tax guidance and reporting context,tax_rule_version,,SRC-TAX-020,TRUE,LOCKED,Rechecked immediately before candidate release.
RULE-FX-008,Viet Nam,Circular 08/2023/TT-NHNN,08/2023/TT-NHNN,State Bank,2023-08-15,2023-08-15,,foreign borrowing,Legal review required,foreign_borrowing_eligibility,,SRC-FX-008,TRUE,LOCKED,Current source register entry.
RULE-FX-019,Viet Nam,Circular 19/2024/TT-NHNN,19/2024/TT-NHNN,State Bank,2024-06-28,2024-08-15,,foreign borrowing,Amendment-aware legal review,foreign_borrowing_eligibility,,SRC-FX-019,TRUE,LOCKED,Read with Circular 08 and transaction-specific advice.
RULE-TAR-CURRENT-BILLING,Viet Nam,Current billed TOU reference in practice,MOIT Q2 2026 briefing,MOIT,2026-07-09,,,industrial_C&I,Current reference only; not a new legal effective date,billing_status,current_billed_reference,SRC-REFRESH-MOIT-20260709,TRUE,WATCH,Use only to separate current billed implementation from Decision 963 legal windows; confirm with EVN/Circular 60 before final release.
RULE-TAR-EVN-20260730,Viet Nam,EVN public explainer for Decision 963 implementation,EVN article 2026-07-30,EVN,2026-07-30,,,industrial_C&I,Implementation context only; billed implementation separate,billing_effective_from,,SRC-REFRESH-EVN-20260730,TRUE,WATCH,Newer official explainer describes schedule and TOU scope but does not document invoice cutover.
