project_id,parameter,value,low,high,unit,currency,evidence_class,benchmark_pack_id,source_id,reason,review_status
VN-GY-TAL-TAV,annual_generation_kwh,2016000,1713600,2116800,kWh,,OBSERVED_PROJECT_FACT,VN-CI-2026,GY-VN-TAL,Observed where available; otherwise capacity × yield proxy.,APPROVED_FOR_STANDARDIZED_SCREENING
VN-GY-TAL-TAV,self_consumption_ratio,1.00,0.7,1,ratio,,OBSERVED_PROJECT_FACT,VN-CI-2026,GY-VN-TAL,Public signal or load benchmark.,APPROVED_FOR_STANDARDIZED_SCREENING
VN-GY-TAL-TAV,annual_customer_load_kwh,2016000,,,kWh,,ANALYST_ASSUMPTION,VN-CI-2026,METHOD-V5-LOAD,Load proxy.,APPROVED_FOR_STANDARDIZED_SCREENING
VN-GY-TAL-TAV,ppa_price_local_per_kwh,2600,,,local_currency_per_kWh,VND,BENCHMARK_ASSUMPTION,VN-CI-2026,MOIT-EVN,Project price not disclosed.,APPROVED_FOR_STANDARDIZED_SCREENING
VN-GY-TAL-TAV,project_cost_local,1039500,,,local_currency,VND,BENCHMARK_ASSUMPTION,VN-CI-2026,METHOD-V5-BENCHMARK,Capacity × capex proxy.,APPROVED_FOR_STANDARDIZED_SCREENING
VN-GY-TAL-TAV,financing_amount_local,727650,,,local_currency,VND,BENCHMARK_ASSUMPTION,VN-CI-2026,METHOD-V5-DEBT,70% standardized leverage.,APPROVED_FOR_STANDARDIZED_SCREENING
VN-GY-TAL-TAV,operating_horizon_years,20,20,25,years,,BENCHMARK_ASSUMPTION,VN-CI-2026,METHOD-V5-BENCHMARK,Standardized horizon.,APPROVED_FOR_STANDARDIZED_SCREENING
VN-GY-TAL-TAV,ppa_tenor_years,20,,,years,,BENCHMARK_ASSUMPTION,VN-CI-2026,METHOD-V5-BENCHMARK,Observed where public.,APPROVED_FOR_STANDARDIZED_SCREENING
VN-GY-TAL-TAV,tax_rate,20,,,percent,,BENCHMARK_ASSUMPTION,VN-CI-2026,METHOD-V5-TAX,Tax proxy only.,APPROVED_FOR_STANDARDIZED_SCREENING
VN-GY-TAL-TAV,debt_all_in_rate,10.5,,,percent,,BENCHMARK_ASSUMPTION,VN-CI-2026,METHOD-V5-DEBT,Debt proxy only.,APPROVED_FOR_STANDARDIZED_SCREENING
VN-GY-TAL-TAV,degradation,0.5,0.5,0.5,percent_per_year,,ANALYST_ASSUMPTION,VN-CI-2026,METHOD-V5-BENCHMARK,Screening assumption.,APPROVED_FOR_STANDARDIZED_SCREENING
VN-GY-TAL-TAV,opex_percent_of_capex,1.5,1.5,2,percent,,ANALYST_ASSUMPTION,VN-CI-2026,METHOD-V5-BENCHMARK,Screening assumption.,APPROVED_FOR_STANDARDIZED_SCREENING
VN-GY-TAL-TAV,terminal_branch,ZERO_RESIDUAL,,,controlled_value,,ANALYST_ASSUMPTION,VN-CI-2026,METHOD-V5-BENCHMARK,No residual claim.,APPROVED_FOR_STANDARDIZED_SCREENING
VN-GY-TAL-TAV,fx_to_usd,25500,,,local_currency_per_USD,VND,ANALYST_ASSUMPTION,VN-CI-2026,METHOD-V5-FX,Normalization only.,APPROVED_FOR_STANDARDIZED_SCREENING
VN-GY-GIAVICO,annual_generation_kwh,3120000,2652000,3276000,kWh,,BENCHMARK_ASSUMPTION,VN-CI-2026,GSA-PVOUT,Observed where available; otherwise capacity × yield proxy.,APPROVED_FOR_STANDARDIZED_SCREENING
VN-GY-GIAVICO,self_consumption_ratio,1.00,0.7,1,ratio,,OBSERVED_PROJECT_FACT,VN-CI-2026,GY-VN-GIAVICO,Public signal or load benchmark.,APPROVED_FOR_STANDARDIZED_SCREENING
VN-GY-GIAVICO,annual_customer_load_kwh,3120000,,,kWh,,ANALYST_ASSUMPTION,VN-CI-2026,METHOD-V5-LOAD,Load proxy.,APPROVED_FOR_STANDARDIZED_SCREENING
VN-GY-GIAVICO,ppa_price_local_per_kwh,2600,,,local_currency_per_kWh,VND,BENCHMARK_ASSUMPTION,VN-CI-2026,MOIT-EVN,Project price not disclosed.,APPROVED_FOR_STANDARDIZED_SCREENING
VN-GY-GIAVICO,project_cost_local,1430000,,,local_currency,VND,BENCHMARK_ASSUMPTION,VN-CI-2026,METHOD-V5-BENCHMARK,Capacity × capex proxy.,APPROVED_FOR_STANDARDIZED_SCREENING
VN-GY-GIAVICO,financing_amount_local,1001000,,,local_currency,VND,BENCHMARK_ASSUMPTION,VN-CI-2026,METHOD-V5-DEBT,70% standardized leverage.,APPROVED_FOR_STANDARDIZED_SCREENING
VN-GY-GIAVICO,operating_horizon_years,20,20,25,years,,BENCHMARK_ASSUMPTION,VN-CI-2026,METHOD-V5-BENCHMARK,Standardized horizon.,APPROVED_FOR_STANDARDIZED_SCREENING
VN-GY-GIAVICO,ppa_tenor_years,20,,,years,,BENCHMARK_ASSUMPTION,VN-CI-2026,METHOD-V5-BENCHMARK,Observed where public.,APPROVED_FOR_STANDARDIZED_SCREENING
VN-GY-GIAVICO,tax_rate,20,,,percent,,BENCHMARK_ASSUMPTION,VN-CI-2026,METHOD-V5-TAX,Tax proxy only.,APPROVED_FOR_STANDARDIZED_SCREENING
